candidate_id,num_leaves,max_depth,min_child_samples,learning_rate,n_estimators,reg_alpha,reg_lambda,subsample,colsample_bytree
V4-T2-R-01,95,-1,250,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-02,127,-1,250,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-03,63,10,250,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-04,63,-1,100,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-05,63,-1,500,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-06,63,-1,250,0.05,300,0.1,0.5,1.0,1.0
V4-T2-B-01,63,10,500,0.05,300,0.1,2.0,0.9,0.75
V4-T2-B-02,63,10,500,0.03,500,0.1,2.0,0.9,0.75
V4-T2-B-03,63,10,500,0.03,300,0.5,2.0,0.9,0.75
V4-T2-B-04,63,10,500,0.03,300,0.1,2.0,0.8,0.75
V4-T2-B-05,63,10,500,0.03,300,0.1,2.0,0.9,0.9
V4-T2-B-06,95,10,500,0.03,300,0.1,2.0,0.9,0.75
