candidate_id,mean_ap,std_ap,min_ap,max_ap,ap_range,fold1_ap,fold2_ap,fold3_ap,mean_roc_auc,mean_precision_at_80_recall,mean_false_positives,mean_alert_rate,total_fit_seconds,num_leaves,max_depth,min_child_samples,learning_rate,n_estimators,reg_alpha,reg_lambda,subsample,colsample_bytree
V4-T2-R-01,0.3937500197453667,0.05801455543245427,0.3364322368515296,0.45243710569556045,0.11600486884403083,0.39238071668901003,0.3364322368515296,0.45243710569556045,0.9791048105468856,0.03819333540376466,16849.666666666668,0.03225117526133193,112.83130379996146,95,-1,250,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-02,0.40953655267789685,0.051849047500488674,0.354462017853446,0.457406563070613,0.102944545217167,0.41674107710963143,0.354462017853446,0.457406563070613,0.9788123456161104,0.03673960924977291,17297.0,0.03247211479557985,118.06150660000276,127,-1,250,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-03,0.37548359081633614,0.049591894192888626,0.32399842105734195,0.4229359417195453,0.09893752066220335,0.37951640967212136,0.32399842105734195,0.4229359417195453,0.9793870031780706,0.03999244891138351,15181.0,0.03087000851375558,108.04828239994822,63,10,250,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-04,0.40289859293944935,0.041614721905655946,0.35923222985332326,0.4421019106480131,0.08286968079468982,0.40736163831701167,0.35923222985332326,0.4421019106480131,0.9802438314597798,0.0381797797503094,16449.333333333332,0.032460523203045676,96.22780779999448,63,-1,100,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-05,0.3920032675586636,0.04490188066235472,0.34865313035201784,0.4383106947607907,0.08965756440877287,0.38904597756318227,0.34865313035201784,0.4383106947607907,0.9798521807526434,0.037342423321673916,16363.666666666666,0.03149428151108046,106.42304059996968,63,-1,500,0.08,200,0.1,0.5,1.0,1.0
V4-T2-R-06,0.39829568027019757,0.04509029523230318,0.3514338247507242,0.44137627970887755,0.08994245495815334,0.40207693635099084,0.3514338247507242,0.44137627970887755,0.9799184919064333,0.039000050078035815,15622.666666666666,0.03157353343688252,122.61469190000207,63,-1,250,0.05,300,0.1,0.5,1.0,1.0
V4-T2-B-01,0.39648618791746965,0.04116398382362654,0.34994385436381087,0.42811390630167656,0.07817005193786569,0.4114008030869215,0.34994385436381087,0.42811390630167656,0.9827291145614647,0.04609912179500312,12157.333333333334,0.025698216819457026,131.71648009997443,63,10,500,0.05,300,0.1,2.0,0.9,0.75
V4-T2-B-02,0.4004858572355303,0.03923347201109967,0.35529881932404545,0.4258836639146105,0.07058484459056508,0.420275088467935,0.35529881932404545,0.4258836639146105,0.982701965941966,0.04407281482622236,12668.666666666666,0.026718095207391695,140.40136359998723,63,10,500,0.03,500,0.1,2.0,0.9,0.75
V4-T2-B-03,0.37994741272778154,0.05881774238559613,0.3120389511409744,0.4148276311146258,0.10278867997365138,0.4148276311146258,0.3120389511409744,0.41297565592774443,0.9830543718636213,0.04494633773702958,12259.0,0.026042599274605602,100.0690493999864,63,10,500,0.03,300,0.5,2.0,0.9,0.75
V4-T2-B-04,0.38370156067128414,0.045034113556929274,0.33175046538603287,0.41164793500731967,0.0798974696212868,0.40770628162049993,0.33175046538603287,0.41164793500731967,0.9828464065910456,0.04610626481556518,12100.333333333334,0.025898691095471226,3593.895754499972,63,10,500,0.03,300,0.1,2.0,0.8,0.75
V4-T2-B-05,0.38595704781513507,0.0485014743951556,0.33234880909314934,0.4267972127142728,0.09444840362112344,0.3987251216379831,0.33234880909314934,0.4267972127142728,0.9829561118348185,0.04680173590026676,12587.666666666666,0.026797339907039003,71.47769450000487,63,10,500,0.03,300,0.1,2.0,0.9,0.9
V4-T2-B-06,0.3952765163114287,0.047401172330388874,0.3410650914115432,0.42891768559607535,0.08785259418453217,0.4158467719266676,0.3410650914115432,0.42891768559607535,0.9832324599716658,0.0449403132319142,12376.666666666666,0.02639825491153755,100.74814000003971,95,10,500,0.03,300,0.1,2.0,0.9,0.75
