candidate_id,model__subsample,model__reg_lambda,model__reg_alpha,model__num_leaves,model__n_estimators,model__min_child_samples,model__max_depth,model__learning_rate,model__colsample_bytree
V4-T1-01,0.8,0.0,0.1,63,200,100,-1,0.05,0.75
V4-T1-02,1.0,0.5,0.1,63,300,100,6,0.03,0.75
V4-T1-03,1.0,0.5,0.1,63,200,250,-1,0.08,1.0
V4-T1-04,0.9,0.0,1.0,63,300,100,8,0.03,1.0
V4-T1-05,0.9,2.0,0.1,63,300,500,10,0.03,0.75
V4-T1-06,0.8,2.0,1.0,31,500,50,8,0.05,0.9
V4-T1-07,0.9,0.0,0.5,15,500,100,6,0.08,0.9
V4-T1-08,1.0,1.0,0.1,63,300,500,-1,0.03,1.0
V4-T1-09,0.8,0.5,0.0,15,500,100,-1,0.05,0.75
V4-T1-10,1.0,0.5,1.0,15,200,50,-1,0.05,0.9
V4-T1-11,0.8,1.0,0.1,31,300,50,-1,0.05,1.0
V4-T1-12,1.0,0.5,0.1,15,200,50,10,0.05,1.0
V4-T1-13,0.9,0.5,1.0,15,300,100,6,0.03,0.75
V4-T1-14,1.0,0.5,0.5,63,300,250,-1,0.03,1.0
V4-T1-15,0.8,0.0,0.1,63,300,50,8,0.05,1.0
V4-T1-16,1.0,0.5,0.0,63,200,50,10,0.05,1.0
V4-T1-17,0.9,0.5,1.0,31,500,100,-1,0.05,1.0
V4-T1-18,0.9,0.0,0.5,31,500,100,10,0.03,0.75
V4-T1-19,0.9,1.0,0.0,31,300,500,6,0.03,1.0
V4-T1-20,0.9,5.0,0.0,31,200,100,8,0.03,0.9
