candidate_id,mean_ap,std_ap,min_ap,max_ap,ap_range,fold1_ap,fold2_ap,fold3_ap,mean_roc_auc,mean_precision_at_80_recall,mean_false_positives,mean_alert_rate,total_fit_seconds,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree
V4-T1-01,0.3696963634179522,0.0621840623925842,0.29952981004254026,0.4179837571229527,0.11845394708041246,0.3915755230883635,0.29952981004254026,0.4179837571229527,0.982520517793653,0.04549729234360705,13151.333333333334,0.027134546212981874,123.5511149999802,0.8,0.0,0.1,63,200,100,-1,0.05,0.75
V4-T1-02,0.31438939964948864,0.04809194705924515,0.25932830124887496,0.3481683049646222,0.08884000371574724,0.3481683049646222,0.25932830124887496,0.3356715927349687,0.9817006816293571,0.03962542465149354,14134.0,0.030736375280543307,133.43633060000138,1.0,0.5,0.1,63,300,100,6,0.03,0.75
V4-T1-03,0.39552318256453217,0.04946088310800844,0.342165536637719,0.4398400375521103,0.09767450091439134,0.4045639735037672,0.342165536637719,0.4398400375521103,0.9794905239383368,0.03971004069884518,16825.333333333332,0.034099243999285204,131.495840699994,1.0,0.5,0.1,63,200,250,-1,0.08,1.0
V4-T1-04,0.361917149246187,0.07081726086956917,0.28032432403155155,0.407408515760528,0.12708419172897645,0.407408515760528,0.28032432403155155,0.39801860794648153,0.98207529750098,0.04486782304438719,12278.0,0.026140042496913023,148.57186169998022,0.9,0.0,1.0,63,300,100,8,0.03,1.0
V4-T1-05,0.3852796810323312,0.0523514431415839,0.32520522139254276,0.4211451244076011,0.09593990301505834,0.4094886972968497,0.32520522139254276,0.4211451244076011,0.9829728283543228,0.04622734193341846,11795.666666666666,0.025262664738143814,143.2871820999717,0.9,2.0,0.1,63,300,500,10,0.03,0.75
V4-T1-06,0.367478713801999,0.032286586087028946,0.34186182061292725,0.4037446694002611,0.061882848787333855,0.35682965139280853,0.34186182061292725,0.4037446694002611,0.9827371741810863,0.05299108287786578,10621.0,0.022503099976943747,184.4634755999723,0.8,2.0,1.0,31,500,50,8,0.05,0.9
V4-T1-07,0.3365214514284778,0.048456059533843965,0.28152054847808294,0.37291938634161237,0.09139883786352943,0.37291938634161237,0.28152054847808294,0.3551244194657381,0.9821514265644842,0.04636664472400767,11505.0,0.02443862380956222,168.60563909998746,0.9,0.0,0.5,15,500,100,6,0.08,0.9
V4-T1-08,0.3786058253781545,0.05454845348392623,0.31717005320013925,0.42135567723158807,0.10418562403144882,0.39729174570273623,0.31717005320013925,0.42135567723158807,0.9798017609875064,0.03980269582110355,14958.333333333334,0.030932402845889235,150.8742210000346,1.0,1.0,0.1,63,300,500,-1,0.03,1.0
V4-T1-09,0.3306029664687981,0.01927790015219399,0.31437837512157046,0.3519141034169163,0.03753572829534585,0.32551642086790755,0.31437837512157046,0.3519141034169163,0.9832242670913924,0.04918532516524635,10803.333333333334,0.02227381173266363,169.1096088999766,0.8,0.5,0.0,15,500,100,-1,0.05,0.75
V4-T1-10,0.27225093402602735,0.05647447161159541,0.20744204628121635,0.31091812456177953,0.10347607828056318,0.2983926312350862,0.20744204628121635,0.31091812456177953,0.9819339593390041,0.042782231138877407,13104.333333333334,0.029348736031280978,106.88510419998784,1.0,0.5,1.0,15,200,50,-1,0.05,0.9
V4-T1-11,0.36673201922083826,0.04379699046303167,0.3173277737383269,0.40079318944817405,0.08346541570984717,0.38207509447601384,0.3173277737383269,0.40079318944817405,0.9830906771219697,0.04839581048975499,11631.666666666666,0.025138271429491484,142.90232260004268,0.8,1.0,0.1,31,300,50,-1,0.05,1.0
V4-T1-12,0.2731025680427745,0.04692826240322744,0.22237524423993182,0.31496822306737143,0.09259297882743961,0.2819642368210201,0.22237524423993182,0.31496822306737143,0.9819467463880512,0.04373084598267216,13013.666666666666,0.029059384105926973,106.04222139998456,1.0,0.5,0.1,15,200,50,10,0.05,1.0
V4-T1-13,0.29083851039623504,0.042704335592612046,0.24234853418439142,0.3228424890059248,0.0804939548215334,0.3228424890059248,0.24234853418439142,0.3073245079983889,0.9823549111167892,0.042237256080774756,12566.666666666666,0.027574142415424843,136.046420699975,0.9,0.5,1.0,15,300,100,6,0.03,0.75
V4-T1-14,0.38637173857678353,0.06231962750564917,0.31669314842649493,0.4367804436742743,0.12008729524777939,0.40564162362958134,0.31669314842649493,0.4367804436742743,0.9803918473157315,0.04229069401029184,15075.0,0.030882470826552988,149.47439759998815,1.0,0.5,0.5,63,300,250,-1,0.03,1.0
V4-T1-15,0.3490683340497714,0.0634526614003887,0.2772277865748906,0.39745624760693815,0.12022846103204754,0.3725209679674855,0.2772277865748906,0.39745624760693815,0.9815770390743795,0.04501222965632574,13397.666666666666,0.02717444467639959,157.75843150002765,0.8,0.0,0.1,63,300,50,8,0.05,1.0
V4-T1-16,0.3907130312249391,0.05152881084012016,0.3317600330332603,0.4271627899427789,0.0954027569095186,0.41321627069877814,0.3317600330332603,0.4271627899427789,0.9798611984931617,0.03875291257126481,16677.333333333332,0.032816640997366454,103.63056289998349,1.0,0.5,0.0,63,200,50,10,0.05,1.0
V4-T1-17,0.3794867751224904,0.03896764590495426,0.33875769479927575,0.4164143445780628,0.07765664977878706,0.3832882859901326,0.33875769479927575,0.4164143445780628,0.9825252387684301,0.04818798722912058,11361.0,0.023719611633532072,103.94383410000592,0.9,0.5,1.0,31,500,100,-1,0.05,1.0
V4-T1-18,0.3557003275373782,0.05163371684512228,0.29831315446255285,0.39839659203660577,0.10008343757405291,0.37039123611297586,0.29831315446255285,0.39839659203660577,0.9830235437671592,0.05189642930639893,11224.333333333334,0.024419775485106984,85.28687900002114,0.9,0.0,0.5,31,500,100,10,0.03,0.75
V4-T1-19,0.3250671840593033,0.06250973040344313,0.25288731694478195,0.3612855022288593,0.10839818528407735,0.3612855022288593,0.25288731694478195,0.3610287330042686,0.9827922324701589,0.04442168542777172,11643.0,0.02502487240402637,62.233961699996144,0.9,1.0,0.0,31,300,500,6,0.03,1.0
V4-T1-20,0.3182455844070536,0.043499303132198,0.2680277483230957,0.34425787240115846,0.07623012407806273,0.34425787240115846,0.2680277483230957,0.3424511324969066,0.9823646754264083,0.044121163199211215,12612.333333333334,0.026921713104069978,57.89685039996402,0.9,5.0,0.0,31,200,100,8,0.03,0.9
